Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,total,Total,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,Change UK - The Independent Group,The Brexit Party,Some other party,,22.5,26.5,12.5,2.3,3.7,4.1,2.5,25.1,0.4,,VI-17-05-2019-Web-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,Conservative,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,Change UK - The Independent Group,The Brexit Party,Some other party,,,,,,,,,,,,VI-17-05-2019-Web-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,Labour,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,Change UK - The Independent Group,The Brexit Party,Some other party,,,,,,,,,,,,VI-17-05-2019-Web-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,Liberal Democrat,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,Change UK - The Independent Group,The Brexit Party,Some other party,,,,,,,,,,,,VI-17-05-2019-Web-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,UK Independence Party (UKIP),Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,Change UK - The Independent Group,The Brexit Party,Some other party,,,,,,,,,,,,VI-17-05-2019-Web-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,Scottish National Party (SNP),Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,Change UK - The Independent Group,The Brexit Party,Some other party,,,,,,,,,,,,VI-17-05-2019-Web-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,Plaid Cymru,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,Change UK - The Independent Group,The Brexit Party,Some other party,,,,,,,,,,,,VI-17-05-2019-Web-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,Green,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,Change UK - The Independent Group,The Brexit Party,Some other party,,,,,,,,,,,,VI-17-05-2019-Web-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,Change UK - The Independent Group,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,Change UK - The Independent Group,The Brexit Party,Some other party,,,,,,,,,,,,VI-17-05-2019-Web-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,The Brexit Party,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,Change UK - The Independent Group,The Brexit Party,Some other party,,,,,,,,,,,,VI-17-05-2019-Web-Tables.xlsx,VI_R_Final
