Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,total,Total,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,40.8,34.4,8.4,6.8,3.9,3.8,1.3,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,Conservative,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,,,,,,,,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,Labour,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,,,,,,,,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,Liberal Democrat,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,,,,,,,,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,UK Independence Party (UKIP),Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,,,,,,,,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,Scottish National Party (SNP),Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,,,,,,,,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,Plaid Cymru,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,,,,,,,,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,Green,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,,,,,,,,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,Some other party,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,,,,,,,,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,Would not vote,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,,,,,,,,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,Don't know,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,,,,,,,,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,Remain,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,23.6,49.5,14.9,,6.1,4.5,0.2,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,Leave,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,56.8,20.8,2.4,13.0,1.9,2.9,2.2,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,Did not vote,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,29.0,35.4,14.0,3.5,6.7,7.7,3.6,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,2017 Conservative Remainers,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,91.5,4.4,2.9,,0.4,0.2,0.6,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,2017 Conservative Leavers,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,85.3,0.5,0.8,12.1,,,1.3,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,2017 Labour Remainers,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,0.4,82.5,10.0,,6.4,0.5,,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,historic_vote,2017 Labour Leavers,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,5.6,79.4,1.5,8.0,2.2,,3.3,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,gender,Male,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,42.3,33.3,8.7,6.8,3.7,2.5,1.8,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,gender,Female,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,39.3,35.6,8.1,6.8,4.1,5.1,0.7,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,age,18-34,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,28.8,47.2,8.0,2.5,7.8,4.6,1.1,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,age,35-44,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,28.2,42.1,10.5,9.2,4.0,6.1,,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,age,45-54,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,36.1,37.0,9.7,7.2,3.5,3.8,2.3,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,age,55-64,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,44.8,32.7,7.0,6.5,3.2,2.3,2.4,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,age,65+,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,58.1,19.3,7.6,8.7,1.5,2.7,0.8,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,region,North,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,37.2,43.1,6.6,6.9,5.0,,1.1,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
,,,,,,,region,Midands,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Some other party,,,,43.0,35.7,6.7,8.5,3.9,,2.1,,,,VI-30-01-19-Tables-for-Website.xlsx,VI_headline_voting_intention
