Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,total,Total,Q:VI_Recode. VI_Recode,UNMATCHED,,Conservative,Labour,Liberal Democrat,Scottish National Party (SNP),UK Independence Party (UKIP),Green,The Brexit Party,,,,36.9,24.9,16.1,4.1,0.9,2.3,13.4,,,,VI-11-09-2019-Tables.xlsx,VI_Recode
,,,,,,,current_vote,Conservative,Q:VI_Recode. VI_Recode,UNMATCHED,,Conservative,Labour,Liberal Democrat,Scottish National Party (SNP),UK Independence Party (UKIP),Green,The Brexit Party,,,,,,,,,,,,,,VI-11-09-2019-Tables.xlsx,VI_Recode
,,,,,,,current_vote,Labour,Q:VI_Recode. VI_Recode,UNMATCHED,,Conservative,Labour,Liberal Democrat,Scottish National Party (SNP),UK Independence Party (UKIP),Green,The Brexit Party,,,,,,,,,,,,,,VI-11-09-2019-Tables.xlsx,VI_Recode
,,,,,,,current_vote,Lib Dem,Q:VI_Recode. VI_Recode,UNMATCHED,,Conservative,Labour,Liberal Democrat,Scottish National Party (SNP),UK Independence Party (UKIP),Green,The Brexit Party,,,,,,,,,,,,,,VI-11-09-2019-Tables.xlsx,VI_Recode
,,,,,,,current_vote,SNP,Q:VI_Recode. VI_Recode,UNMATCHED,,Conservative,Labour,Liberal Democrat,Scottish National Party (SNP),UK Independence Party (UKIP),Green,The Brexit Party,,,,,,,,,,,,,,VI-11-09-2019-Tables.xlsx,VI_Recode
,,,,,,,current_vote,Plaid Cymru,Q:VI_Recode. VI_Recode,UNMATCHED,,Conservative,Labour,Liberal Democrat,Scottish National Party (SNP),UK Independence Party (UKIP),Green,The Brexit Party,,,,,,,,,,,,,,VI-11-09-2019-Tables.xlsx,VI_Recode
,,,,,,,current_vote,UKIP,Q:VI_Recode. VI_Recode,UNMATCHED,,Conservative,Labour,Liberal Democrat,Scottish National Party (SNP),UK Independence Party (UKIP),Green,The Brexit Party,,,,,,,,,,,,,,VI-11-09-2019-Tables.xlsx,VI_Recode
,,,,,,,current_vote,Green,Q:VI_Recode. VI_Recode,UNMATCHED,,Conservative,Labour,Liberal Democrat,Scottish National Party (SNP),UK Independence Party (UKIP),Green,The Brexit Party,,,,,,,,,,,,,,VI-11-09-2019-Tables.xlsx,VI_Recode
,,,,,,,current_vote,Change UK,Q:VI_Recode. VI_Recode,UNMATCHED,,Conservative,Labour,Liberal Democrat,Scottish National Party (SNP),UK Independence Party (UKIP),Green,The Brexit Party,,,,,,,,,,,,,,VI-11-09-2019-Tables.xlsx,VI_Recode
,,,,,,,current_vote,Brexit Party,Q:VI_Recode. VI_Recode,UNMATCHED,,Conservative,Labour,Liberal Democrat,Scottish National Party (SNP),UK Independence Party (UKIP),Green,The Brexit Party,,,,,,,,,,,,,,VI-11-09-2019-Tables.xlsx,VI_Recode
,,,,,,,current_vote,Other,Q:VI_Recode. VI_Recode,UNMATCHED,,Conservative,Labour,Liberal Democrat,Scottish National Party (SNP),UK Independence Party (UKIP),Green,The Brexit Party,,,,,,,,,,,,,,VI-11-09-2019-Tables.xlsx,VI_Recode
,,,,,,,historic_vote,Remain,Q:VI_Recode. VI_Recode,UNMATCHED,,Conservative,Labour,Liberal Democrat,Scottish National Party (SNP),UK Independence Party (UKIP),Green,The Brexit Party,,,,17.3,38.2,30.5,7.4,0.3,3.9,1.1,,,,VI-11-09-2019-Tables.xlsx,VI_Recode
,,,,,,,historic_vote,Leave,Q:VI_Recode. VI_Recode,UNMATCHED,,Conservative,Labour,Liberal Democrat,Scottish National Party (SNP),UK Independence Party (UKIP),Green,The Brexit Party,,,,54.8,11.4,3.3,1.5,1.5,0.9,24.9,,,,VI-11-09-2019-Tables.xlsx,VI_Recode
,,,,,,,historic_vote,Did not vote,Q:VI_Recode. VI_Recode,UNMATCHED,,Conservative,Labour,Liberal Democrat,Scottish National Party (SNP),UK Independence Party (UKIP),Green,The Brexit Party,,,,28.3,45.5,17.4,1.3,,2.0,5.6,,,,VI-11-09-2019-Tables.xlsx,VI_Recode
