Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
"2,050 UK adults",11-13 June 2025,,,,1765,,total,Total,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,14.7,20.0,9.8,7.9,24.9,2.7,,,,,Observer-VI-2025-06-11-Tables-0028.xlsx,V003
"2,050 UK adults",11-13 June 2025,,,,1765,,current_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,Observer-VI-2025-06-11-Tables-0028.xlsx,V003
"2,050 UK adults",11-13 June 2025,,,,1765,,current_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,Observer-VI-2025-06-11-Tables-0028.xlsx,V003
"2,050 UK adults",11-13 June 2025,,,,1765,,current_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,Observer-VI-2025-06-11-Tables-0028.xlsx,V003
"2,050 UK adults",11-13 June 2025,,,,1765,,current_vote,Reform,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,Observer-VI-2025-06-11-Tables-0028.xlsx,V003
"2,050 UK adults",11-13 June 2025,,,,1765,,current_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,Observer-VI-2025-06-11-Tables-0028.xlsx,V003
"2,050 UK adults",11-13 June 2025,,,,1765,,historic_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,56.8,3.0,1.4,0.2,27.4,0.2,,,,,Observer-VI-2025-06-11-Tables-0028.xlsx,V003
"2,050 UK adults",11-13 June 2025,,,,1765,,historic_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,2.9,54.5,7.7,6.3,9.9,1.8,,,,,Observer-VI-2025-06-11-Tables-0028.xlsx,V003
"2,050 UK adults",11-13 June 2025,,,,1765,,historic_vote,Lib Dems,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,5.7,8.0,62.4,1.4,5.4,3.0,,,,,Observer-VI-2025-06-11-Tables-0028.xlsx,V003
"2,050 UK adults",11-13 June 2025,,,,1765,,historic_vote,Reform UK ,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,2.8,0.4,1.4,1.4,84.5,2.3,,,,,Observer-VI-2025-06-11-Tables-0028.xlsx,V003
"2,050 UK adults",11-13 June 2025,,,,1765,,historic_vote,Green ,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,5.6,,78.9,5.0,1.1,,,,,Observer-VI-2025-06-11-Tables-0028.xlsx,V003
"2,050 UK adults",11-13 June 2025,,,,1765,,historic_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,35.8,6.1,4.0,1.4,39.2,0.7,,,,,Observer-VI-2025-06-11-Tables-0028.xlsx,V003
"2,050 UK adults",11-13 June 2025,,,,1765,,historic_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,1.5,50.4,7.2,12.4,11.0,4.1,,,,,Observer-VI-2025-06-11-Tables-0028.xlsx,V003
"2,050 UK adults",11-13 June 2025,,,,1765,,historic_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,1.6,13.0,63.8,4.4,4.5,2.1,,,,,Observer-VI-2025-06-11-Tables-0028.xlsx,V003
"2,050 UK adults",11-13 June 2025,,,,1765,,historic_vote,Remain,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,14.3,28.1,15.7,10.1,7.4,2.3,,,,,Observer-VI-2025-06-11-Tables-0028.xlsx,V003
