Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,total,Total,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,16.2,23.3,8.2,9.9,21.1,3.4,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,current_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,current_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,current_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,current_vote,Reform,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,current_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,historic_vote,Conservative,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,63.1,2.8,1.6,,20.0,2.6,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,historic_vote,Labour,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,3.2,62.6,3.6,8.8,8.9,1.8,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,historic_vote,Lib Dems,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,4.9,10.5,61.3,5.5,4.7,0.4,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,historic_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,2.8,8.9,3.5,68.7,2.3,,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,historic_vote,Reform UK,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,5.3,1.4,,2.5,79.4,7.9,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,historic_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,42.3,8.1,2.5,0.8,30.1,4.2,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,historic_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,1.3,54.7,5.6,13.3,10.9,2.8,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,historic_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,7.4,14.7,55.2,6.9,5.2,0.5,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,historic_vote,Remain,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,14.6,31.1,14.2,12.0,7.8,1.4,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,historic_vote,Leave,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,22.5,14.9,5.1,3.7,35.0,5.3,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,gender,Male,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,16.8,24.3,7.6,9.0,25.1,3.3,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,gender,Female,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,15.8,22.3,8.7,10.4,17.3,3.3,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,age,18-34,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,8.9,30.1,6.8,17.5,18.9,2.0,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,age,35-49,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,12.3,26.5,7.8,12.9,21.3,3.6,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,age,50-64,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,17.2,22.2,8.3,6.0,18.1,4.5,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,age,65+,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,27.2,13.8,9.8,2.9,26.4,3.4,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,region,North,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,16.1,29.7,8.5,7.1,21.7,3.5,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,region,Mids,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,11.0,24.6,5.7,13.0,25.9,5.6,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,region,London,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,18.3,28.6,6.6,15.7,16.3,3.3,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,region,South,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,20.0,18.2,10.3,10.0,23.4,2.4,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,region,Wales,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,18.6,9.1,3.5,6.1,16.2,4.2,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,region,Scotland,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,8.4,21.0,8.5,4.9,11.5,1.8,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,1798,,region,Northern Ireland,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003
"2,003 GB Adults",26th - 28th August 2026,,,,60,,total,Total,"Q:V003B. You mentioned you would vote for another party if there was a general election tomorrow. Which of the below, if any, would you vote for?",Voting intention (Westminster),general election tomorrow,Restore Britain,An independent candidate,,,,,,,,,54.6,22.7,,,,,,,,,VI-2026-08-26-Opinium-Observer-Data-Tables-1957.xlsx,V003B
