Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
"2,050 UK adults",05 - 07 August 2026,,,,1796,,total,Total,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,15.8,22.4,8.2,9.7,20.8,4.1,,,,,VI-2026-08-05-Opinium-Observer-Web-Data-tables-1806.xlsx,V003
"2,050 UK adults",05 - 07 August 2026,,,,1796,,current_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-08-05-Opinium-Observer-Web-Data-tables-1806.xlsx,V003
"2,050 UK adults",05 - 07 August 2026,,,,1796,,current_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-08-05-Opinium-Observer-Web-Data-tables-1806.xlsx,V003
"2,050 UK adults",05 - 07 August 2026,,,,1796,,current_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-08-05-Opinium-Observer-Web-Data-tables-1806.xlsx,V003
"2,050 UK adults",05 - 07 August 2026,,,,1796,,current_vote,Reform,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-08-05-Opinium-Observer-Web-Data-tables-1806.xlsx,V003
"2,050 UK adults",05 - 07 August 2026,,,,1796,,current_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-08-05-Opinium-Observer-Web-Data-tables-1806.xlsx,V003
"2,050 UK adults",05 - 07 August 2026,,,,1796,,historic_vote,Conservative,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,60.2,2.7,0.8,1.4,20.4,3.0,,,,,VI-2026-08-05-Opinium-Observer-Web-Data-tables-1806.xlsx,V003
"2,050 UK adults",05 - 07 August 2026,,,,1796,,historic_vote,Labour,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,4.4,58.9,3.7,7.5,9.0,2.8,,,,,VI-2026-08-05-Opinium-Observer-Web-Data-tables-1806.xlsx,V003
"2,050 UK adults",05 - 07 August 2026,,,,1796,,historic_vote,Lib Dems,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,6.3,11.1,61.2,2.7,3.1,0.4,,,,,VI-2026-08-05-Opinium-Observer-Web-Data-tables-1806.xlsx,V003
"2,050 UK adults",05 - 07 August 2026,,,,1796,,historic_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,0.5,13.4,4.4,65.6,3.0,4.1,,,,,VI-2026-08-05-Opinium-Observer-Web-Data-tables-1806.xlsx,V003
